N,Identifier,dist(asec),prob. member,link ref,Mag U,Mag B,Mag V,Mag R,"#ref 
1850 - 2019"
320,2E 114,2525.86,0,2009ApJ...703..441D,17.038,16.64,15.66,15.091,60
321,2E 114,2525.86,100,2008ApJS..177..174N,17.038,16.64,15.66,15.091,60
322,2E 114,2525.86,100,2009A&A...495..733S,17.038,16.64,15.66,15.091,60
323,2E 114,2525.86,100,2009AJ....137...94C,17.038,16.64,15.66,15.091,60
324,2E 114,2525.86,100,2010MNRAS.402..803P,17.038,16.64,15.66,15.091,60
325,2E 114,2525.86,100,2016ApJ...824...42C,17.038,16.64,15.66,15.091,60
50,2E 141,3406.71,0,2009AJ....137...94C,,17.05,16.3,,45
1720,2E 146,1009.92,100,2009AJ....137...94C,18.77,18.18,16.83,15.92,46
1721,2E 146,1009.92,100,2010MNRAS.402..803P,18.77,18.18,16.83,15.92,46
1722,2E 146,1009.92,100,2016ApJ...824...42C,18.77,18.18,16.83,15.92,46
2171,2E 148,1452.55,0,2009A&A...495..733S,,,,,11
2388,2E 153,306.1,100,2008A&A...480..599S,17.73,17.24,16.13,15.69,65
2389,2E 153,306.1,100,2009AJ....137...94C,17.73,17.24,16.13,15.69,65
2390,2E 153,306.1,100,2010MNRAS.402..803P,17.73,17.24,16.13,15.69,65
2391,2E 153,306.1,100,2012ApJ...752...95J,17.73,17.24,16.13,15.69,65
2392,2E 153,306.1,100,2016ApJ...824...42C,17.73,17.24,16.13,15.69,65
1375,2E 165,1246.13,100,2009AJ....137...94C,18.22,17.83,16.83,16.22,49
1376,2E 165,1246.13,100,2010MNRAS.402..803P,18.22,17.83,16.83,16.22,49
1377,2E 165,1246.13,100,2016ApJ...824...42C,18.22,17.83,16.83,16.22,49
1558,2E 166,1230.17,0,2009ApJ...703..441D,15.5,15,14.22,13.679,123
1559,2E 166,1230.17,100,2009AJ....137...94C,15.5,15,14.22,13.679,123
1560,2E 166,1230.17,100,2010MNRAS.402..803P,15.5,15,14.22,13.679,123
1561,2E 166,1230.17,100,2016ApJ...824...42C,15.5,15,14.22,13.679,123
3174,2E 169,2480.31,90,2009ApJ...703..441D,18.8,18.51,17.51,17.07,56
3175,2E 169,2480.31,100,2009AJ....137...94C,18.8,18.51,17.51,17.07,56
3176,2E 169,2480.31,100,2010MNRAS.402..803P,18.8,18.51,17.51,17.07,56
3177,2E 169,2480.31,100,2016ApJ...824...42C,18.8,18.51,17.51,17.07,56
6105,2MASS J00333442+4011072,7367.59,0,2010MNRAS.402..803P,,,,,2
6106,2MASS J00333442+4011072,7367.59,50,2007AJ....134..706K,,,,,2
6137,2MASS J00352968+4029321,5666.62,50,2007AJ....134..706K,,,,,2
6152,2MASS J00361255+4052388,4649.27,0,2010MNRAS.402..803P,,,,,2
6153,2MASS J00361255+4052388,4649.27,50,2007AJ....134..706K,,,,,2
5467,2MASS J00363352+4039450,4733.02,100,2007AJ....134..706K,18.98,18.51,17.7,17.23,4
3101,2MASS J00363876+4216285,5462.07,0,2009AJ....137...94C,,18.3,17.53,,13
6185,2MASS J00371055+4019516,5075.37,50,2007AJ....134..706K,,,,,2
520,2MASS J00371255+3950168,6389.38,0,2009AJ....137...94C,,18.55,16.66,,8
521,2MASS J00371845+4021195,4949.42,0,2009AJ....137...94C,,19.1,17.28,,8
522,2MASS J00371845+4021195,4949.42,0,2009ApJ...703..441D,,19.1,17.28,,8
3798,2MASS J00373986+3958387,5798.79,75,2009ApJ...703..420M,21.352,20.567,18.674,17.528,8
3799,2MASS J00373986+3958387,5798.79,90,2004yCat.2250....0S,21.352,20.567,18.674,17.528,8
3800,2MASS J00373986+3958387,5798.79,100,2006AJ....131.2478M,21.352,20.567,18.674,17.528,8
1878,2MASS J00374839+4024539,4552.32,0,2009ApJ...703..441D,,14.162,13.711,,2
1879,2MASS J00380367+4018294,4702.74,0,2009ApJ...703..441D,,14.298,13.777,,3
1880,2MASS J00380978+4009094,5088.11,0,2009ApJ...703..441D,,14.053,13.554,,3
1161,2MASS J00381362+4051266,3400.56,0,2010MNRAS.402..803P,19.11,18.9,17.93,17.34,6
878,2MASS J00381980+4114307,2984.35,100,2009AJ....137...94C,,,16.36,,10
1881,2MASS J00382694+4012126,4823.2,0,2009ApJ...703..441D,,14.028,13.07,,3
9577,2MASS J00383132+4032298,3883.13,75,2009ApJ...703..420M,,21.279,19.415,18.389,2
1882,2MASS J00383762+4028083,4014.96,0,2009ApJ...703..441D,,13.69,13.31,,2
1883,2MASS J00384555+4019067,4364.97,0,2009ApJ...703..441D,,13.827,13.315,,3
1566,2MASS J00390326+4030426,3702.57,100,2009ApJ...703..420M,22.775,20.629,18.747,17.672,4
1567,2MASS J00390427+4038087,3377.5,0,2009ApJ...703..441D,,15.32,14.954,,3
1569,2MASS J00390814+4032223,3591.48,0,2009ApJ...703..441D,,16.03,15.31,,3
5717,2MASS J00390923+4028298,3757.38,75,2007AJ....134..706K,,,,,2
1884,2MASS J00391318+4020574,4086.79,0,2009ApJ...703..441D,,14.47,13.91,,3
9578,2MASS J00391984+4037597,3255.8,75,2009ApJ...703..420M,21.629,21.044,19.367,18.455,2
1571,2MASS J00392871+4051275,2661.67,0,2009ApJ...703..441D,,15.81,15.27,,4
1885,2MASS J00393119+4027516,3631.27,0,2009ApJ...703..441D,,12.94,12.813,,5
1886,2MASS J00393381+4019523,4008.87,0,2009ApJ...703..441D,,14.672,14.28,,4
1573,2MASS J00393567+4109468,2162.49,0,2009ApJ...703..441D,,14.82,14.428,,3
1764,2MASS J00393620+4048493,2685.76,0,2009ApJ...703..441D,,18.42,17.62,,3
7805,2MASS J00393660+4013352,4316.28,0,2009ApJ...703..441D,,17.16,16.25,,2
6235,2MASS J00393886+4134389,2363.63,50,2007AJ....134..706K,,,,,2
1577,2MASS J00394188+4041367,2925.08,0,2009ApJ...703..441D,,15.66,14.95,,3
5724,2MASS J00394204+4052206,2507.03,75,2007AJ....134..706K,,,,,2
1578,2MASS J00394262+4106560,2123.85,0,2009ApJ...703..441D,,15.057,14.506,,3
9582,2MASS J00394291+4020510,3903.99,75,2009ApJ...703..420M,,21.9,19.854,18.416,2
1754,2MASS J00394842+4053131,2417.68,0,2009ApJ...703..441D,,17.96,17.03,,3
1581,2MASS J00395056+4035086,3150.21,0,2009ApJ...703..441D,,14.969,14.45,14.102,3
268,2MASS J00395083+4053319,2384.42,75,2009ApJ...703..420M,,22.445,19.991,18.698,5
1585,2MASS J00395130+4053036,2396.41,75,2009ApJ...703..420M,22.835,20.434,17.841,16.592,4
1586,2MASS J00395757+4056325,2221.01,0,2009ApJ...703..441D,,14.73,14.43,,3
1587,2MASS J00395767+4021592,3758.91,0,2009ApJ...703..441D,,19.61,18.25,,3
1588,2MASS J00395906+4022053,3745.77,0,2009ApJ...703..441D,,13.382,13.17,,3
5731,2MASS J00400003+4022147,3732.16,75,2007AJ....134..706K,,,,,2
9552,2MASS J00400432+4014114,4137,75,2009ApJ...703..420M,21.955,21.515,19.703,18.832,2
8089,2MASS J00400833+4103248,1919.44,0,2009ApJ...703..441D,,16.92,16.65,,2
1591,2MASS J00400872+4059443,2014.26,0,2009ApJ...703..441D,,19.7,18.47,,3
1592,2MASS J00401007+4057054,2084.08,0,2009ApJ...703..441D,,14.14,13.854,,3
1593,2MASS J00401241+4056047,2096.46,0,2009ApJ...703..441D,,14.057,13.749,,3
1594,2MASS J00401502+4100475,1921.48,0,2009ApJ...703..441D,,18.88,18.02,,4
1756,2MASS J00401864+4051271,2215.12,0,2009ApJ...703..441D,,19.17,18.2,,3
5483,2MASS J00401900+4100520,1879.62,100,2007AJ....134..706K,20.32,19.64,18.66,18.1,4
1598,2MASS J00402416+4045297,2427.85,0,2009ApJ...703..441D,,14.6,14.22,13.93,4
2010,2MASS J00402451+4044447,2459.58,100,2009ApJ...703..420M,23.756,21.952,19.802,18.435,3
1599,2MASS J00402464+4053502,2069.4,0,2009ApJ...703..441D,,16.26,15.37,,3
1995,2MASS J00402532+4046229,2378.69,75,2009ApJ...703..420M,22.848,21.922,19.906,18.811,4
1887,2MASS J00402637+4102310,1759.02,0,2009ApJ...703..441D,,14.61,14.32,,4
1601,2MASS J00402754+4027216,3311.71,0,2009ApJ...703..441D,,18.4,17.47,,3
1988,2MASS J00402905+4042099,2549.18,100,2009ApJ...703..420M,22.855,21.556,19.622,18.625,4
1603,2MASS J00402927+4040097,2644.94,0,2009ApJ...703..441D,,14.894,14.05,13.56,3
2002,2MASS J00403012+4044480,2416.66,75,2009ApJ...703..420M,22.87,21.493,19.773,18.849,4
2005,2MASS J00403063+4042460,2509.42,100,2006AJ....131.2478M,,21.416,19.285,17.951,5
2006,2MASS J00403063+4042460,2509.42,100,2009ApJ...703..420M,,21.416,19.285,17.951,5
2004,2MASS J00403091+4043292,2473.09,75,2009ApJ...703..420M,,22.317,19.989,18.498,4
1888,2MASS J00403168+4052116,2076.4,0,2009ApJ...703..441D,,13.709,13.273,12.9,6
2001,2MASS J00403192+4043128,2479.14,100,2009ApJ...703..420M,,21.842,19.961,18.852,4
2003,2MASS J00403237+4045192,2376.33,75,2009ApJ...703..420M,,21.873,19.847,18.648,4
8239,2MASS J00403313+4101425,1715.84,0,2009ApJ...703..441D,,17.15,16.3,,2
6262,2MASS J00403324+4051534,2076.51,25,2009AJ....137...94C,,,19.52,,3
6263,2MASS J00403324+4051534,2076.51,50,2007AJ....134..706K,,,19.52,,3
1607,2MASS J00403355+4036473,2786.79,75,2009ApJ...703..420M,20.971,20.273,18.443,17.527,6
1757,2MASS J00403383+4046579,2289.42,100,2009ApJ...703..420M,21.534,19.71,17.89,17.005,4
1889,2MASS J00403499+4031160,3064.98,0,2009ApJ...703..441D,,13.62,13.14,12.78,5
1991,2MASS J00403623+4046159,2304.57,75,2009ApJ...703..420M,23.42,21.837,19.999,18.897,3
1890,2MASS J00403911+4015015,3932.32,0,2009ApJ...703..441D,,13.26,12.99,,4
6520,2MASS J00404324+4046255,2247.98,0,2009ApJ...703..441D,,16.25,15.6,,2
1613,2MASS J00404480+4031354,2995.95,0,2009ApJ...703..441D,,14.49,13.59,13.02,3
1614,2MASS J00404720+4044453,2302.21,75,2009ApJ...703..420M,,21.715,19.332,17.854,5
1891,2MASS J00404824+4021207,3541.07,0,2009ApJ...703..441D,,13.57,13.31,,4
1617,2MASS J00405031+4051330,1958.79,0,2009ApJ...703..441D,,18.16,17.18,,3
9554,2MASS J00405229+4043564,2310.62,100,2009ApJ...703..420M,22.593,21.792,19.824,18.654,3
1620,2MASS J00405458+4031303,2952.12,0,2009ApJ...703..441D,,14.549,14.286,,5
1621,2MASS J00405512+4108091,1322.1,0,2009ApJ...703..441D,,15.098,14.666,14.295,3
1622,2MASS J00405802+4047163,2107.93,0,2009ApJ...703..441D,,14.35,14.2,14.01,4
9555,2MASS J00405929+4036009,2684.84,75,2009ApJ...703..420M,21.49,21.465,19.073,18.019,3
1761,2MASS J00405948+4045425,2176.74,75,2009ApJ...703..420M,,21.218,18.712,17.357,5
1854,2MASS J00405987+4035275,2711.89,0,2009ApJ...703..441D,,14.601,13.809,13.3,4
1892,2MASS J00410225+4010368,4098.4,0,2009ApJ...703..441D,,13.722,13.543,,2
1627,2MASS J00410261+4038356,2529.48,0,2009ApJ...703..441D,,15.18,14.75,14.38,4
1893,2MASS J00410358+4057568,1576.6,0,2009ApJ...703..441D,,14.007,13.43,13.107,5
1630,2MASS J00410375+4032130,2870.64,0,2009ApJ...703..441D,,14.434,14.11,13.784,3
1894,2MASS J00410558+4106304,1255.16,0,2009ApJ...703..441D,,14.037,13.581,13.236,4
1681,2MASS J00410716+4116360,1095.75,75,2009ApJ...703..420M,22.965,20.748,18.618,17.486,5
1895,2MASS J00410732+4027567,3093.08,0,2009ApJ...703..441D,,14.265,13.071,,4
1631,2MASS J00410757+4033236,2788.51,0,2009ApJ...703..441D,,14.445,13.694,13.192,6
2467,2MASS J00410915+4035528,2644.49,100,2008ApJS..177..174N,17.735,17.3,16.27,16.005,34
2468,2MASS J00410915+4035528,2644.49,100,2009AJ....137...94C,17.735,17.3,16.27,16.005,34
2469,2MASS J00410915+4035528,2644.49,100,2010MNRAS.402..803P,17.735,17.3,16.27,16.005,34
2470,2MASS J00410915+4035528,2644.49,100,2016ApJ...824...42C,17.735,17.3,16.27,16.005,34
1632,2MASS J00410968+4048220,1980.01,0,2009ApJ...703..441D,,18.86,17.61,,3
1633,2MASS J00411039+4055041,1650.36,0,2009ApJ...703..441D,,14.53,14.14,13.87,5
1634,2MASS J00411079+4048287,1967.48,0,2009ApJ...703..441D,,18.31,17.55,,3
9556,2MASS J00411415+4037596,2505.44,100,2009ApJ...703..420M,22.722,22.073,19.8,18.278,3
1762,2MASS J00411508+4048567,1918.02,0,2009ApJ...703..441D,,18.79,17.78,,3
9557,2MASS J00411828+4049398,1862.15,100,2009ApJ...703..420M,22.871,21.522,19.492,18.123,3
5796,2MASS J00411917+4045041,2097.92,75,2007AJ....134..706K,20.124,,18.912,18.327,4
5797,2MASS J00411917+4045041,2097.92,100,2008ApJS..177..174N,20.124,,18.912,18.327,4
9558,2MASS J00412024+4038379,2442.87,100,2009ApJ...703..420M,23.129,20.897,18.884,17.639,3
1638,2MASS J00412067+4106350,1104.31,0,2009ApJ...703..441D,,14.74,13.48,12.74,3
2582,2MASS J00412073+4058154,1428.84,0,2009ApJ...703..441D,,13.713,13.253,12.967,5
6521,2MASS J00412093+4114000,949.01,0,2009ApJ...703..441D,,18.07,17.44,,2
1896,2MASS J00412243+4017425,3626.31,0,2009ApJ...703..441D,,13.468,13.07,,2
2260,2MASS J00412375+4114596,911.14,50,2004yCat.2250....0S,,16.4,16.4,,13
2261,2MASS J00412375+4114596,911.14,60,2008A&A...480..599S,,16.4,16.4,,13
9583,2MASS J00412480+4112062,928.97,75,2009ApJ...703..420M,,22.141,19.523,17.993,3
1641,2MASS J00412507+4041538,2241.07,0,2009ApJ...703..441D,,14.88,14.02,13.46,4
9559,2MASS J00412517+4112145,922.81,75,2009ApJ...703..420M,,22.223,19.888,18.56,3
9580,2MASS J00412521+4112089,923.71,75,2009ApJ...703..420M,,21.635,19.069,17.592,3
